t,R_P,R_Z,T_P,T_Z,T,U,I,C_p,C_V
93.0,78.4,79.2,218.373,220.379,219.376,21.0,198.8,23.201,22.59
94.5,79.6,80.1,221.382,222.637,222.01,21.0,198.8,27.809,27.184
96.0,80.6,81.0,223.893,224.898,224.395,21.0,198.8,21.365,20.725
97.5,81.9,81.9,227.161,227.161,227.161,21.0,198.8,25.217,24.564
99.0,83.0,82.5,229.929,228.67,229.3,21.0,198.8,25.188,24.521
100.5,84.1,83.1,232.701,230.181,231.441,21.0,198.9,23.072,22.39
102.0,85.3,83.9,235.729,232.197,233.963,21.0,198.9,27.654,26.959
103.5,86.3,84.5,238.255,233.71,235.982,21.0,198.9,25.112,24.401
105.0,87.4,85.5,241.036,236.234,238.635,21.0,198.9,25.083,24.354
106.5,88.5,87.1,243.821,240.277,242.049,21.0,198.9,27.561,26.814
108.0,89.5,88.9,246.356,244.835,245.595,21.0,198.9,27.532,26.768
109.5,90.5,90.5,248.893,248.893,248.893,21.0,199.0,22.928,22.143
111.0,91.7,92.6,251.941,254.23,253.085,21.0,199.0,22.899,22.094
112.5,92.9,94.0,254.993,257.794,256.394,21.0,199.0,22.87,22.047
114.0,94.1,95.0,258.049,260.343,259.196,21.0,199.0,22.841,22.001
115.5,95.3,95.9,261.109,262.64,261.874,21.0,199.1,22.824,21.966
117.0,96.5,96.6,264.172,264.428,264.3,21.0,199.1,22.795,21.92
118.5,97.7,97.4,267.24,266.473,266.856,21.0,199.1,27.323,26.433
120.0,98.7,98.0,269.799,268.007,268.903,21.0,199.1,24.811,23.904
121.5,99.8,98.9,272.617,270.311,271.464,21.0,199.1,24.783,23.858
123.0,100.9,99.9,275.439,272.874,274.156,21.0,199.2,27.245,26.304
124.5,101.9,100.7,278.006,274.925,276.466,21.0,199.2,27.217,26.26
126.0,102.9,101.6,280.577,277.236,278.906,21.0,199.2,24.715,23.741
127.5,104.0,102.6,283.407,279.805,281.606,21.0,199.2,27.157,26.165
129.0,105.0,103.8,285.984,282.893,284.438,21.1,199.3,27.272,26.261
130.5,106.0,105.5,288.562,287.273,287.917,21.1,199.3,27.244,26.215
132.0,107.0,106.9,291.144,290.885,291.015,21.1,199.4,27.229,26.183
133.5,108.0,108.2,293.728,294.245,293.986,21.1,199.4,22.665,21.6
135.0,109.2,109.5,296.832,297.609,297.221,21.1,199.5,24.708,23.628
136.5,110.3,109.8,299.681,298.386,299.034,21.1,199.6,24.693,23.6
138.0,111.4,109.5,302.534,297.609,300.071,21.1,199.6,0.0,0.0
